Day,Month,Year,Date,Week,Day Of Week,Occupancy,Occupancy_%,Average_Daily_Rate,Average_Daily_Rate_%,Revenue_Per_Available_Room,Revenue_per_room_%,Supply,Supply_%,Demand,Demand_%,Revenue,Revenue_%,Number_Of_Hotels,Number_Of_Rooms
21,9,2016,9/21/2016,201638,Wednesday,86.6,31.1,9748.66,-12.7,8442.54,14.5,7926,1.2,6864,32.7,66915581,15.9,100,7926
22,9,2016,9/22/2016,201638,Thursday,92,16.1,9295.31,-8.3,8547.31,6.4,7926,1.2,7288,17.5,67746018,7.7,100,7926
23,9,2016,9/23/2016,201638,Friday,90.3,24.3,8648.62,-3.1,7813.38,20.4,7926,1.2,7161,25.8,61928858,21.9,100,7926
24,9,2016,9/24/2016,201638,Saturday,77,36,8272.5,-3.5,6373.39,31.2,7926,1.2,6106,37.6,50515476,32.8,100,7926
25,9,2016,9/25/2016,201639,Sunday,62.5,71.3,8407.9,-7.6,5259.04,58.2,7926,1.2,4958,73.4,41683156,60.1,100,7926
26,9,2016,9/26/2016,201639,Monday,77.7,50.1,9767.89,-7.4,7586.38,39.1,7926,1.2,6156,52,60129640,40.7,100,7926
27,9,2016,9/27/2016,201639,Tuesday,83.2,36.3,9611.13,-6.5,7993.89,27.5,7926,1.2,6592,38,63359594,29,100,7926
28,9,2016,9/28/2016,201639,Wednesday,89.3,34.2,10044.76,1.4,8965.11,36.1,7926,1.2,7074,35.8,71057439,37.8,100,7926
29,9,2016,9/29/2016,201639,Thursday,87.5,31.6,9720.52,-5.9,8504.02,23.8,7926,1.2,6934,33.1,67402847,25.3,100,7926
30,9,2016,9/30/2016,201639,Friday,93.4,51.3,8139.21,-10.4,7602.65,35.6,7926,1.2,7403,53.2,60258572,37.2,100,7926
1,10,2016,10/1/2016,201639,Saturday,87.1,63,7274.56,-16.1,6339.24,36.8,7926,1.2,6907,64.9,50244791,38.4,100,7926
2,10,2016,10/2/2016,201640,Sunday,59.3,50.6,7807.64,-20.3,4632.87,20,7926,1.2,4703,52.4,36720131,21.4,100,7926
3,10,2016,10/3/2016,201640,Monday,81.8,46.7,8971.86,-15.7,7335.17,23.6,7926,1.2,648,48.5,58138591,25.1,100,7926
4,10,2016,10/4/2016,201640,Tuesday,75.5,9.9,9727.25,-8.1,7343.34,1,7926,1.2,5984,11.2,58203302,2.3,100,7926
5,10,2016,10/5/2016,201640,Wednesday,89.6,26.4,9981.13,-8.7,8940.7,15.4,7926,1.2,71,27.9,70864021,16.8,100,7926
6,10,2016,10/6/2016,201640,Thursday,84.1,8.7,9706.41,-5.7,8166.91,2.5,7926,1.2,6669,10,64730958,3.8,100,7926
7,10,2016,10/7/2016,201640,Friday,75.4,-1,8217.92,-12.2,6199.65,-13.1,7926,1.2,5979,0.2,49138437,-12,100,7926
8,10,2016,10/8/2016,201640,Saturday,71.6,45.5,7841.29,-12.9,5615.07,26.8,7926,1.2,5676,47.3,44505075,28.3,100,7926
9,10,2016,10/9/2016,201641,Sunday,50.6,9.8,8052.06,-15.8,4073.31,-7.5,7926,1.2,401,11.2,32285060,-6.4,100,7926
10,10,2016,10/10/2016,201641,Monday,58.2,16.3,9635.61,-7.7,5607.79,7.3,7926,1.2,4613,17.7,44447306,8.6,100,7926
11,10,2016,10/11/2016,201641,Tuesday,70,0.7,9554.68,-11.4,6683.71,-10.8,7926,1.2,5544,1.9,52975057,-9.7,100,7926
12,10,2016,10/12/2016,201641,Wednesday,79.1,10.2,9711.21,-8.7,7683.21,0.6,7926,1.2,6271,11.5,60897100,1.9,100,7926
13,10,2016,10/13/2016,201641,Thursday,84.8,46.1,9837.04,-9.4,8343.04,32.3,7926,1.2,6722,47.9,66126913,34,100,7926
14,10,2016,10/14/2016,201641,Friday,68.8,43.2,9190.43,7,6324.21,53.3,7926,1.2,5454,44.9,50125728,55.1,100,7926
15,10,2016,10/15/2016,201641,Saturday,53.4,34.3,8379.03,7,4477.33,43.7,7926,1.2,4235,35.9,35487335,45.4,100,7926
16,10,2016,10/16/2016,201642,Sunday,39.8,41.3,8721.94,-3.9,3472.85,35.7,7926,1.2,3156,43,27525782,37.4,100,7926
17,10,2016,10/17/2016,201642,Monday,65.3,37,9605.95,-14.8,6271.93,16.7,7926,1.2,5175,38.6,49711326,18.1,100,7926
18,10,2016,10/18/2016,201642,Tuesday,77.3,40.8,9524.86,-9.8,7363.16,27,7926,1.2,6127,42.5,58360416,28.5,100,7926
19,10,2016,10/19/2016,201642,Wednesday,81.8,30.7,9548.71,-12.7,7806.79,14.1,7926,1.2,648,32.3,61876643,15.5,100,7926
20,10,2016,10/20/2016,201642,Thursday,75.6,51.4,9242.53,-18.1,6986.99,24,7926,1.2,5992,53.3,55378848,25.5,100,7926
21,10,2016,10/21/2016,201642,Friday,61.5,59.9,8316.4,-7.8,5111.31,47.5,7926,1.2,4871,61.8,40512241,49.3,100,7926
22,10,2016,10/22/2016,201642,Saturday,53.3,35,8048.66,-15.7,4288.3,13.8,7926,1.2,4223,36.6,33989050,15.2,100,7926
23,10,2016,10/23/2016,201643,Sunday,52.3,-0.3,9019.63,8.8,4716.89,8.5,7926,1.2,4145,0.9,37386086,9.8,100,7926
24,10,2016,10/24/2016,201643,Monday,73.7,8.6,9724.04,13.5,7164.69,23.2,7926,1.2,584,9.9,56787360,24.7,100,7926
25,10,2016,10/25/2016,201643,Tuesday,81.9,8.2,9946.51,8.2,8147.48,17,7926,1.2,6492,9.5,64576926,18.4,100,7926
26,10,2016,10/26/2016,201643,Wednesday,83.9,14.3,10099.95,8.1,8471.89,23.6,7926,1.2,6648,15.7,67148161,25.1,100,7926
27,10,2016,10/27/2016,201643,Thursday,85.5,33.6,9598.5,3.5,8205.33,38.3,7926,1.2,6776,35.2,65035465,39.9,100,7926
28,10,2016,10/28/2016,201643,Friday,83.7,63.8,8898.58,10.1,7445.74,80.4,7926,1.2,6632,65.8,59014968,82.6,100,7926
29,10,2016,10/29/2016,201643,Saturday,79.9,110.8,7846.17,0.3,6272.65,111.5,7926,1.2,6336,113.3,49717011,114.1,100,7926
30,10,2016,10/30/2016,201644,Sunday,40.9,53.2,8905.75,-13.5,3642.87,32.5,7926,1.2,3242,55,28873384,34.1,100,7926
31,10,2016,10/31/2016,201644,Monday,45.5,-1.9,9486.34,-9.7,4312.6,-11.4,7926,1.2,3603,-0.7,34181658,-10.4,100,7926
1,11,2016,11/1/2016,201644,Tuesday,52.5,-11.5,9550.4,-10.9,5012.73,-21.1,7926,1.2,416,-10.4,39730867,-20.2,100,7926
2,11,2016,11/2/2016,201644,Wednesday,67.2,11.1,9607.92,-9.8,6452.66,0.2,7926,1.2,5323,12.5,51143813,1.4,100,7926
3,11,2016,11/3/2016,201644,Thursday,69.8,26.2,8831.72,-14,6166.19,8.6,7926,1.2,5534,27.8,48873198,9.9,100,7926
4,11,2016,11/4/2016,201644,Friday,57.4,32.8,8408.34,0,4827.29,32.8,7926,1.2,455,34.4,38261137,34.4,100,7926
5,11,2016,11/5/2016,201644,Saturday,49.9,18.9,7988.59,4.1,3984.51,23.8,7926,1.2,3953,20.4,31581218,25.3,100,7926
6,11,2016,11/6/2016,201645,Sunday,46.3,77.4,8185.67,-12.1,3792.62,56,7926,1.2,3672,79.6,30060271,57.9,100,7926
7,11,2016,11/7/2016,201645,Monday,68.1,62.5,9560.66,-7.3,6515.07,50.7,7926,1.2,5401,64.5,51638428,52.5,100,7926
8,11,2016,11/8/2016,201645,Tuesday,78.4,101.6,10205.97,2,8005.07,105.7,7926,1.2,6217,104.1,63448194,108.2,100,7926
9,11,2016,11/9/2016,201645,Wednesday,87.8,83.8,9443.19,-10.1,8290.2,65.3,7926,1.2,6958,86,65708125,67.3,100,7926
10,11,2016,11/10/2016,201645,Thursday,62.9,20.2,8996.93,-14.8,5661.35,2.4,7926,1.2,4987,21.7,44871870,3.6,100,7926
11,11,2016,11/11/2016,201645,Friday,61.5,32.9,8156.4,-8.4,5015.98,21.7,7926,1.2,4874,34.5,39756694,23.1,100,7926
12,11,2016,11/12/2016,201645,Saturday,63,65.2,7642.06,-8.3,4812.56,51.5,7926,1.2,4991,67.2,38144367,53.3,100,7926
13,11,2016,11/13/2016,201646,Sunday,48,58.4,8287.01,-16.8,3974.22,31.8,7926,1.2,3801,60.3,31499683,33.4,100,7926
14,11,2016,11/14/2016,201646,Monday,77.3,63.7,9018.4,-18.9,6971.47,32.7,7926,1.2,6127,65.7,55255870,34.3,100,7926
15,11,2016,11/15/2016,201646,Tuesday,78.8,48.3,9026.87,-17.1,7111.36,22.9,7926,1.2,6244,50.1,56364605,24.4,100,7926
16,11,2016,11/16/2016,201646,Wednesday,83.3,45.4,8958.06,-18.8,7462.93,18.1,7926,1.2,6603,47.2,59151200,19.6,100,7926
17,11,2016,11/17/2016,201646,Thursday,75.6,35.8,9194.29,-10.5,6953.51,21.6,7926,1.2,5994,37.5,55113560,23.1,100,7926
18,11,2016,11/18/2016,201646,Friday,47.9,13.2,8046.62,-7.8,3851.01,4.4,7926,1.2,3793,14.5,30523115,5.6,100,7926
19,11,2016,11/19/2016,201646,Saturday,42.3,17.1,7784.94,-2.2,3296.47,14.5,7926,1.2,3356,18.5,26127793,15.9,100,7926
20,11,2016,11/20/2016,201647,Sunday,47.1,39.2,8014.6,-10.1,3776.49,25.2,7926,1.2,3735,40.9,29932488,26.7,100,7926
21,11,2016,11/21/2016,201647,Monday,69,36.3,9132.85,-16,6299.99,14.5,7926,1.2,5467,37.9,49933704,15.9,100,7926
22,11,2016,11/22/2016,201647,Tuesday,77.9,30.1,9302.46,-13.8,7250.6,12.1,7926,1.2,6178,31.7,57468268,13.5,100,7926
23,11,2016,11/23/2016,201647,Wednesday,80.6,33,9305.35,-11.2,7495.68,18.1,7926,1.2,6385,34.7,59410779,19.5,100,7926
24,11,2016,11/24/2016,201647,Thursday,66.1,20.1,9253.19,-6.4,6118.75,12.4,7926,1.2,5241,21.5,48497204,13.7,100,7926
25,11,2016,11/25/2016,201647,Friday,56,46.6,8452.48,-10.2,4731.94,31.7,7926,1.2,4437,48.4,37505383,33.3,100,7926
26,11,2016,11/26/2016,201647,Saturday,51.8,73.3,7585.78,-15.8,3933,45.9,7926,1.2,4109,75.4,31172942,47.7,100,7926
27,11,2016,11/27/2016,201648,Sunday,48.3,87.6,7479.7,-16.1,3612.84,57.4,7926,1.2,3828,89.8,28635357,59.3,100,7926
28,11,2016,11/28/2016,201648,Monday,77.1,47.4,9331.83,-19.5,7190.79,18.6,7926,1.2,6108,49.2,56994171,20.1,100,7926
29,11,2016,11/29/2016,201648,Tuesday,80.5,23.3,9293.2,-21.6,7481.32,-3.3,7926,1.2,6381,24.8,59296931,-2.1,100,7926
30,11,2016,11/30/2016,201648,Wednesday,84.1,6.2,9426.43,-22,7932.03,-17.2,7926,1.2,6669,7.4,62869288,-16.2,100,7926
1,12,2016,12/1/2016,201648,Thursday,74.4,3.4,9439.4,-19.6,7027.42,-16.9,7926,1.2,5901,4.6,55699315,-15.9,100,7926
2,12,2016,12/2/2016,201648,Friday,56.6,0,8230.52,-16,4654.57,-15.9,7926,1.2,4482,1.3,36892141,-14.9,100,7926
3,12,2016,12/3/2016,201648,Saturday,39.4,42,7896.57,-14.2,3111.17,21.9,7926,1.2,3123,43.7,24659111,23.4,100,7926
4,12,2016,12/4/2016,201649,Sunday,43.8,82.6,8998.99,-13.9,3945.88,57.2,7926,1.2,3475,84.8,31275037,59.1,100,7926
5,12,2016,12/5/2016,201649,Monday,64.3,38.7,9402.64,-17,6042.54,15.1,7926,1.2,5094,40.4,47893162,16.5,100,7926
6,12,2016,12/6/2016,201649,Tuesday,76.4,64.9,9207.67,-16.9,7032.41,36.9,7926,1.2,6054,66.9,55738920,38.6,100,7926
7,12,2016,12/7/2016,201649,Wednesday,84.6,54.3,9119.72,-8.7,7718.12,40.9,7926,1.2,6708,56.2,61173851,42.6,100,7926
8,12,2016,12/8/2016,201649,Thursday,70.5,19.4,9467.72,-7.7,6674.08,10.1,7926,1.2,5587,20.8,52898768,11.5,100,7926
9,12,2016,12/9/2016,201649,Friday,58.5,24.9,8257.97,-11.8,4833.38,10.1,7926,1.2,4639,26.4,38309392,11.5,100,7926
10,12,2016,12/10/2016,201649,Saturday,52.2,70,8142.82,-16,4250.74,42.8,7926,1.2,4138,72.1,33691397,44.6,100,7926
11,12,2016,12/11/2016,201650,Sunday,46.7,101.1,8146.94,-15.6,3805.86,69.8,7926,1.2,3703,103.6,30165231,71.9,100,7926
12,12,2016,12/12/2016,201650,Monday,63.5,46.7,9051,-13.9,5749.45,26.3,7926,1.2,5035,48.4,45570123,27.8,100,7926
13,12,2016,12/13/2016,201650,Tuesday,76.1,40.1,8837.21,-15.1,6723.26,19,7926,1.2,603,41.8,53288569,20.4,100,7926
14,12,2016,12/14/2016,201650,Wednesday,86.5,96.7,8889.05,-13.2,7689.88,70.7,7926,1.2,6857,99.1,60950028,72.7,100,7926
15,12,2016,12/15/2016,201650,Thursday,64.2,69.1,9152.82,-8.4,5872.94,55,7926,1.2,5086,71.2,46548962,56.9,100,7926
16,12,2016,12/16/2016,201650,Friday,56.1,96,7904.13,-11,4430.91,74.5,7926,1.2,4443,98.4,35119424,76.6,100,7926
17,12,2016,12/17/2016,201650,Saturday,47.7,143.1,7464.81,-21.8,3557.31,90.2,7926,1.2,3777,146,28195264,92.5,100,7926
18,12,2016,12/18/2016,201651,Sunday,34.5,121.7,7298.88,-27.4,2518.48,60.9,7926,1.2,2735,124.4,19961442,62.9,100,7926
19,12,2016,12/19/2016,201651,Monday,38.3,13.3,8675.46,-6.1,3319.4,6.4,7926,1.2,3033,14.6,26309595,7.7,100,7926
20,12,2016,12/20/2016,201651,Tuesday,46.7,67.1,8493.32,-14.8,3963.47,42.4,7926,1.2,3699,69.1,31414499,44.1,100,7926
21,12,2016,12/21/2016,201651,Wednesday,51.4,123.7,8144.83,-5.7,4187.38,110.8,7926,1.2,4075,126.4,33189146,113.4,100,7926
22,12,2016,12/22/2016,201651,Thursday,36.3,46.7,8884.97,2.1,3223.88,49.8,7926,1.2,2876,48.5,25552463,51.6,100,7926
23,12,2016,12/23/2016,201651,Friday,37.5,49.5,7508.1,-8.2,2817.07,37.3,7926,1.2,2974,51.3,22328126,38.9,100,7926
24,12,2016,12/24/2016,201651,Saturday,40.4,26.1,7271.03,-13.9,2936.6,8.5,7926,1.2,3201,27.6,23275483,9.8,100,7926
25,12,2016,12/25/2016,201652,Sunday,37.6,97.7,7704.97,-16.1,2894.75,65.8,7926,1.2,2978,100.1,22943795,67.8,100,7926
26,12,2016,12/26/2016,201652,Monday,30.9,-7.7,8597.24,3.5,2660.48,-4.5,7926,1.2,2453,-6.6,21086945,-3.3,100,7926
27,12,2016,12/27/2016,201652,Tuesday,31.1,4.1,9231.33,-9,2870.39,-5.3,7926,1.2,2465,5.4,22750728,-4.1,100,7926
28,12,2016,12/28/2016,201652,Wednesday,37,-44.2,9506.15,-11.2,3515.06,-50.5,7926,1.2,2931,-43.5,27860374,-49.9,100,7926
29,12,2016,12/29/2016,201652,Thursday,39.6,-58,10774.53,-6,4266.36,-60.5,7926,1.2,3138,-57.5,33815165,-60,100,7926
30,12,2016,12/30/2016,201652,Friday,88.8,1.9,10738.2,25,9533.76,27.4,7926,1.3,7037,3.2,75564566,29.1,100,7926
31,12,2016,12/31/2016,201652,Saturday,98.6,126.5,11127.56,53.4,10968.61,247.4,7926,1.3,7813,129.4,86937216,251.8,100,7926
1,1,2017,1/1/2017,201701,Sunday,82.7,143.8,9587.86,55.7,7926.89,279.6,7926,1.3,6553,146.9,62828511,284.4,100,7926
2,1,2017,1/2/2017,201701,Monday,39.4,36.5,8499.28,21.7,3344.55,66.1,7926,1.3,3119,38.2,26508878,68.2,100,7926
3,1,2017,1/3/2017,201701,Tuesday,30.1,66.7,8994.43,17,2705.3,95.1,7926,1.3,2384,68.8,21442189,97.6,100,7926
4,1,2017,1/4/2017,201701,Wednesday,29,215,7966.35,8.7,2310.09,242.3,7926,1.3,2298,219,18309736,246.6,100,7926
5,1,2017,1/5/2017,201701,Thursday,26.4,85,8009.46,5.8,2118.23,95.6,7926,1.3,2096,87.3,16789082,98.1,100,7926
6,1,2017,1/6/2017,201701,Friday,28,4.2,7214.22,-4.3,2021.19,-0.3,7926,1.3,2221,5.5,16019928,1,100,7926
7,1,2017,1/7/2017,201701,Saturday,30.3,-4.4,6736.82,-11.2,2042.79,-15.2,7926,1.3,2403,-3.2,16191187,-14.1,100,7926
8,1,2017,1/8/2017,201702,Sunday,22.8,-32.9,7258.08,-13.1,1655.98,-41.7,7926,1.3,1808,-32.1,13125321,-41,100,7926
9,1,2017,1/9/2017,201702,Monday,37.8,-14.6,8189.33,-8.1,3098.02,-21.5,7926,1.3,2998,-13.5,24554886,-20.5,100,7926
10,1,2017,1/10/2017,201702,Tuesday,42.4,-12,8370.53,-7.1,3552.63,-18.3,7926,1.3,3364,-10.9,28158164,-17.2,100,7926
11,1,2017,1/11/2017,201702,Wednesday,56.6,21.8,7777.18,-14.4,4403.61,4.2,7926,1.3,4488,23.3,34903036,5.6,100,7926
12,1,2017,1/12/2017,201702,Thursday,56.3,24.3,7669.93,-15.2,4316.54,5.4,7926,1.3,4461,25.9,34212915,6.8,100,7926
13,1,2017,1/13/2017,201702,Friday,32.4,-23.3,7229.94,-10.4,2344.86,-31.3,7926,1.3,2571,-22.3,18585364,-30.4,100,7926
14,1,2017,1/14/2017,201702,Saturday,26.2,-33.9,7633.38,-7,2000.04,-38.6,7926,1.3,2077,-33.1,15852332,-37.8,100,7926
15,1,2017,1/15/2017,201703,Sunday,28.3,-24.9,8076.68,-5.9,2286.6,-29.3,7926,1.3,2244,-23.9,18123573,-28.4,100,7926
16,1,2017,1/16/2017,201703,Monday,48.5,-11.7,8948.99,-4,4338.22,-15.3,7926,1.3,3842,-10.6,34384760,-14.2,100,7926
17,1,2017,1/17/2017,201703,Tuesday,58.7,-5.9,9091.3,-2.3,5335.04,-8.1,7926,1.3,4651,-4.7,42285566,-6.9,100,7926
18,1,2017,1/18/2017,201703,Wednesday,58.7,-5.9,8946.73,-6,5250.21,-11.5,7926,1.3,4651,-4.7,41613139,-10.4,100,7926
19,1,2017,1/19/2017,201703,Thursday,41.8,-35.9,9465.32,-1.9,3956.91,-37.1,7926,1.3,3313,-35.1,31362443,-36.3,100,7926
20,1,2017,1/20/2017,201703,Friday,27,-47.9,9236.07,6.3,2497.01,-44.6,7926,1.3,2143,-47.2,19791279,-43.9,100,7926
21,1,2017,1/21/2017,201703,Saturday,26.6,-35.9,8452.5,-4.1,2247.84,-38.5,7926,1.3,2108,-35.1,17816375,-37.8,100,7926
22,1,2017,1/22/2017,201704,Sunday,33.1,38.6,8406.63,-20.9,2780.12,9.7,7926,1.3,2621,40.3,22035205,11.1,100,7926
23,1,2017,1/23/2017,201704,Monday,56.7,36,8654.13,-22.2,4904.4,5.9,7926,1.3,4492,37.8,38872312,7.2,100,7926
24,1,2017,1/24/2017,201704,Tuesday,66.6,39.3,9065.93,-21,6040.78,10.1,7926,1.3,5281,41.1,47879207,11.5,100,7926
25,1,2017,1/25/2017,201704,Wednesday,74.4,51.9,9056.07,-16,6740.72,27.6,7926,1.3,59,53.8,53426963,29.2,100,7926
26,1,2017,1/26/2017,201704,Thursday,65.7,40.7,8750.07,-19.3,5748.75,13.5,7926,1.3,5207,42.5,45564559,14.9,100,7926
27,1,2017,1/27/2017,201704,Friday,40.3,-3.1,7736.3,-13.8,3116.43,-16.4,7926,1.3,3193,-1.8,24700823,-15.3,100,7926
28,1,2017,1/28/2017,201704,Saturday,30.9,-17,7717.86,-8.9,2385.71,-24.4,7926,1.3,245,-15.9,18909174,-23.4,100,7926
29,1,2017,1/29/2017,201705,Sunday,39.4,22.6,8965.41,1.5,3532.37,24.4,7926,1.3,3123,24.1,27997597,26,100,7926
30,1,2017,1/30/2017,201705,Monday,57.9,28.5,9106.29,-9.5,5272.36,16.3,7926,4.9,4589,34.7,41788687,22,100,7926
31,1,2017,1/31/2017,201705,Tuesday,69.8,28.8,8868.66,-9.4,6187.83,16.7,7926,4.9,553,35.1,49044776,22.4,100,7926
1,2,2017,2/1/2017,201705,Wednesday,61.1,2.1,9192.14,-4.1,5612.13,-2.1,7926,4.9,4839,7.1,44481747,2.6,100,7926
2,2,2017,2/2/2017,201705,Thursday,63.4,9.3,8771.19,-7.4,5559.42,1.2,7926,4.9,5024,14.7,44063949,6.2,100,7926
3,2,2017,2/3/2017,201705,Friday,37.4,-9.9,8322.95,-5.1,3114.04,-14.5,7926,4.9,2966,-5.5,24681883,-10.3,100,7926
4,2,2017,2/4/2017,201705,Saturday,29,-25.3,7888.98,-4.9,2290.97,-28.9,7926,4.9,2302,-21.6,18158191,-25.4,100,7926
5,2,2017,2/5/2017,201706,Sunday,27.2,-22,7993.4,-13.8,2174.72,-32.8,7926,4.9,2156,-18.2,17236866,-29.5,100,7926
6,2,2017,2/6/2017,201706,Monday,44.7,-17.5,9606.46,-6.5,4294.08,-22.8,7926,4.9,3543,-13.4,34034876,-19.1,100,7926
7,2,2017,2/7/2017,201706,Tuesday,52.6,-3.6,9552.8,-5.3,5022.81,-8.7,7926,4.9,4167,1.1,39810765,-4.2,100,7926
8,2,2017,2/8/2017,201706,Wednesday,63.7,23.9,9245.63,-9.4,5892.21,12.2,7926,4.9,5051,29.9,46701617,17.7,100,7926
9,2,2017,2/9/2017,201706,Thursday,58.2,29.2,8569.47,-10.7,4989.9,15.4,7926,4.9,4615,35.5,39549972,21,100,7926
10,2,2017,2/10/2017,201706,Friday,40.7,13.6,7924.81,-11.4,3228.2,0.6,7926,4.9,3229,19.1,25586735,5.5,100,7926
11,2,2017,2/11/2017,201706,Saturday,33.5,9.6,7547.95,-17.3,2524.83,-9.3,7926,4.9,2651,14.9,20011834,-4.9,100,7926
12,2,2017,2/12/2017,201707,Sunday,24.6,29.5,8729.74,-0.2,2150.1,29.2,7926,4.9,1952,35.8,17041666,35.5,100,7926
13,2,2017,2/13/2017,201707,Monday,40.4,140.6,9649.8,5.3,3902.19,153.4,7926,4.9,3205,152.4,30928789,165.8,100,7926
14,2,2017,2/14/2017,201707,Tuesday,33,-7.2,9024.46,-11.7,2974.02,-18.1,7926,4.9,2612,-2.7,23572045,-14.1,100,7926
15,2,2017,2/15/2017,201707,Wednesday,26.1,-60.2,8697.35,-4.9,2267.11,-62.1,7926,4.9,2066,-58.2,17969121,-60.2,100,7926
16,2,2017,2/16/2017,201707,Thursday,31.5,-55.3,7939.82,-5.6,2498.53,-57.8,7926,4.9,2494,-53.2,19803360,-55.8,100,7926
17,2,2017,2/17/2017,201707,Friday,33.7,-38.9,7983.51,-1.1,2690.31,-39.5,7926,4.9,2671,-35.9,21323424,-36.6,100,7926
18,2,2017,2/18/2017,201707,Saturday,29,-32.1,7795.52,-5.1,2259.96,-35.6,7926,4.9,2298,-28.8,17912461,-32.5,100,7926
19,2,2017,2/19/2017,201708,Sunday,40.4,65.1,8305.46,-15,3354.45,40.3,7926,4.9,3201,73.2,26587376,47.1,100,7926
20,2,2017,2/20/2017,201708,Monday,70.1,33.7,9216.16,-10.6,6462.59,19.6,7926,4.9,5558,40.3,51222471,25.4,100,7926
21,2,2017,2/21/2017,201708,Tuesday,77.8,9.3,9676.7,0.4,7524.03,9.8,7926,4.9,6163,14.7,59635475,15.2,100,7926
22,2,2017,2/22/2017,201708,Wednesday,91.4,11.3,9470.26,-0.9,8654.12,10.4,7926,4.9,7243,16.8,68592539,15.8,100,7926
23,2,2017,2/23/2017,201708,Thursday,95.1,15.7,8741.39,-4.8,8312.96,10,7926,4.9,7538,21.3,65888535,15.4,100,7926
24,2,2017,2/24/2017,201708,Friday,78.6,33.1,7799.47,-7.8,6133.98,22.6,7926,4.9,6233,39.6,48617891,28.6,100,7926
25,2,2017,2/25/2017,201708,Saturday,73.2,40,7493.23,-3.4,5484.66,35.2,7926,4.9,5801,46.9,43471417,41.9,100,7926
26,2,2017,2/26/2017,201709,Sunday,55.3,30.8,7899.7,-7.7,4368.93,20.7,7926,4.9,4383,37.2,34628148,26.6,100,7926
27,2,2017,2/27/2017,201709,Monday,59.5,31.2,9225.53,-9,5486.21,19.4,7926,4.9,4713,37.6,43483727,25.3,100,7926
28,2,2017,2/28/2017,201709,Tuesday,68.6,36,8835.78,-16.5,6064.5,13.6,7926,1.3,544,37.7,48067219,15,100,7926
1,3,2017,3/1/2017,201709,Wednesday,89.2,68.8,8873.88,-16,7919,41.8,7926,1.3,7073,71,62765975,43.6,100,7926
2,3,2017,3/2/2017,201709,Thursday,91.5,104.5,8967.95,-16.4,8202.25,71,7926,1.3,7249,107.2,65011011,73.1,100,7926
3,3,2017,3/3/2017,201709,Friday,88.5,119.9,8608.59,-6.6,7622.74,105.3,7926,1.3,7018,122.7,60417843,107.9,100,7926
4,3,2017,3/4/2017,201709,Saturday,89.4,141.3,8401.18,-9.8,7509.61,117.5,7926,1.3,7085,144.3,59521188,120.3,100,7926
5,3,2017,3/5/2017,201710,Sunday,79.7,147.6,8481.29,-12,6760.27,118,7926,1.3,6318,150.8,53581913,120.8,100,7926
6,3,2017,3/6/2017,201710,Monday,58.8,26.7,9884.39,-6.8,5813.8,18.1,7926,1.3,4662,28.4,46080211,19.6,100,7926
7,3,2017,3/7/2017,201710,Tuesday,63.9,31.9,9345.22,-14.8,5967.42,12.3,7926,1.3,5061,33.6,47297786,13.8,100,7926
8,3,2017,3/8/2017,201710,Wednesday,65.4,21.7,10374.66,3.9,6788.73,26.5,7926,1.3,5186,23.3,53807443,28.1,100,7926
9,3,2017,3/9/2017,201710,Thursday,66.7,37.7,9840.45,2.8,6565.52,41.6,7926,1.3,5288,39.4,52038298,43.4,100,7926
10,3,2017,3/10/2017,201710,Friday,59.6,21.4,8905.28,7.8,5303.88,30.9,7926,1.3,4721,23,42038527,32.6,100,7926
11,3,2017,3/11/2017,201710,Saturday,51.4,34.5,8295.66,5.4,4264.82,41.8,7926,1.3,4075,36.3,33802935,43.6,100,7926
12,3,2017,3/12/2017,201711,Sunday,39.2,37.1,8389.75,2.4,3289.79,40.4,7926,1.3,3108,38.9,26074864,42.2,100,7926
13,3,2017,3/13/2017,201711,Monday,62.7,41.5,9564.57,-1.8,5994.13,39,7926,1.3,4967,43.3,47509445,40.8,100,7926
14,3,2017,3/14/2017,201711,Tuesday,74.5,30.3,9772.57,-0.5,7277.95,29.7,7926,1.3,5903,32,57684996,31.4,100,7926
15,3,2017,3/15/2017,201711,Wednesday,70,9,9762.46,-0.6,6836.5,8.4,7926,1.3,555,10.4,54186123,9.7,100,7926
16,3,2017,3/16/2017,201711,Thursday,60.9,-0.8,9669.69,6,5888.09,5.2,7926,1.3,4826,0.5,46668976,6.5,100,7926
17,3,2017,3/17/2017,201711,Friday,47.1,-12,8431.91,-0.4,3972.58,-12.4,7926,1.3,3734,-10.9,31486699,-11.3,100,7926
18,3,2017,3/18/2017,201711,Saturday,44.4,-19.1,7665.59,0.3,3407.11,-18.9,7926,1.3,3523,-18.1,27004777,-17.9,100,7926
19,3,2017,3/19/2017,201712,Sunday,44,15.8,9450.06,5.9,4158.25,22.6,7926,1.3,3488,17.3,32958312,24.2,100,7926
20,3,2017,3/20/2017,201712,Monday,62.6,21.9,9463.58,-4.3,5921.49,16.7,7926,1.3,4959,23.5,46933713,18.2,100,7926
21,3,2017,3/21/2017,201712,Tuesday,70.2,28.4,9108.29,-11.3,6391.9,13.9,7926,1.3,5562,30,50662174,15.3,100,7926
22,3,2017,3/22/2017,201712,Wednesday,78.5,75.9,9120.09,-8.5,7156.85,61,7926,1.3,622,78.2,56725166,63,100,7926
